DATE,BRGA13M647NCEN
1981-01-01,647291.916666666667
1982-01-01,629090.500000000000
1983-01-01,618108.916666666667
1984-01-01,602496.083333333333
1985-01-01,552484.583333333333
1986-01-01,506165.833333333333
1987-01-01,476221.083333333333
1988-01-01,472460.250000000000
1989-01-01,493839.666666666667
1990-01-01,555240.833333333333
1991-01-01,680838.416666666667
1992-01-01,773074.000000000000
1993-01-01,812250.916666666667
1994-01-01,824442.750000000000
1995-01-01,809519.000000000000
1996-01-01,779597.083333333333
1997-01-01,673155.333333333333
1998-01-01,628898.000000000000
1999-01-01,596272.500000000000
2000-01-01,555028.000000000000
2001-01-01,588154.000000000000
2002-01-01,664975.916666666667
2003-01-01,787658.583333333333
2004-01-01,883681.750000000000
2005-01-01,923785.750000000000
2006-01-01,940755.083333333333
2007-01-01,954911.583333333333
2008-01-01,1067894.166666666667
2009-01-01,1370621.916666666667
2010-01-01,1646831.833333333333
2011-01-01,1817461.750000000000
2012-01-01,1935276.416666666667
2013-01-01,1910972.333333333333
2014-01-01,1822050.833333333333
2015-01-01,1782361.250000000000
2016-01-01,1697700.250000000000
2017-01-01,1612874.750000000000
2018-01-01,1523897.583333333333
2019-01-01,1387860.750000000000
2020-01-01,1657685.583333333333
2021-01-01,.
