DATE,ILRQGSP
2005-01-01,687706.575000000000
2006-01-01,704827.575000000000
2007-01-01,712619.800000000000
2008-01-01,706616.475000000000
2009-01-01,688160.950000000000
2010-01-01,698179.575000000000
2011-01-01,711283.375000000000
2012-01-01,726399.100000000000
2013-01-01,726124.950000000000
2014-01-01,741194.000000000000
2015-01-01,751754.950000000000
2016-01-01,749333.500000000000
2017-01-01,753026.950000000000
2018-01-01,771695.550000000000
2019-01-01,775998.125000000000
2020-01-01,734385.050000000000
2021-01-01,780060.775000000000
2022-01-01,797969.075000000000
2023-01-01,.
