DATE,MEHOINUSILA672N
1984-01-01,59158
1985-01-01,59886
1986-01-01,62740
1987-01-01,61964
1988-01-01,65191
1989-01-01,66218
1990-01-01,65610
1991-01-01,62027
1992-01-01,59890
1993-01-01,60835
1994-01-01,63624
1995-01-01,67423
1996-01-01,68232
1997-01-01,69708
1998-01-01,71933
1999-01-01,75575
2000-01-01,72675
2001-01-01,70827
2002-01-01,64501
2003-01-01,66677
2004-01-01,66251
2005-01-01,67308
2006-01-01,65563
2007-01-01,68778
2008-01-01,67178
2009-01-01,66926
2010-01-01,63173
2011-01-01,61132
2012-01-01,61166
2013-01-01,62835
2014-01-01,62910
2015-01-01,69088
2016-01-01,69307
2017-01-01,72913
2018-01-01,75684
2019-01-01,78845
2020-01-01,77805
2021-01-01,79253
