DATE,PPAAIL17000A156NCEN
1989-01-01,11.9
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,13.4
1994-01-01,.
1995-01-01,11.3
1996-01-01,12.0
1997-01-01,11.3
1998-01-01,10.6
1999-01-01,10.1
2000-01-01,10.0
2001-01-01,10.1
2002-01-01,11.3
2003-01-01,11.4
2004-01-01,11.9
2005-01-01,12.0
2006-01-01,12.3
2007-01-01,11.9
2008-01-01,12.2
2009-01-01,13.3
2010-01-01,13.8
2011-01-01,14.9
2012-01-01,14.7
2013-01-01,14.6
2014-01-01,14.3
2015-01-01,13.6
2016-01-01,13
2017-01-01,12.5
2018-01-01,12.1
2019-01-01,11.4
2020-01-01,11.0
2021-01-01,12.1
