DATE,BR17000ILA647NCEN
1989-01-01,974221
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,1197681
1994-01-01,.
1995-01-01,1115165
1996-01-01,.
1997-01-01,950782
1998-01-01,838350
1999-01-01,805569
2000-01-01,820612
2001-01-01,869756
2002-01-01,931820
2003-01-01,1039531
2004-01-01,1137015
2005-01-01,1215483
2006-01-01,1239953
2007-01-01,1283308
2008-01-01,1404337
2009-01-01,1595460
2010-01-01,1763841
2011-01-01,1837040
2012-01-01,2009195
2013-01-01,2014248
2014-01-01,2046077
2015-01-01,1935887
2016-01-01,1896168
2017-01-01,1850033
2018-01-01,1761561
2019-01-01,1832120
2020-01-01,1940897
