DATE,LARGSP
1997-01-01,200862.9
1998-01-01,207611.6
1999-01-01,211952.5
2000-01-01,205722.6
2001-01-01,208617.8
2002-01-01,213079.4
2003-01-01,221774.4
2004-01-01,232712.8
2005-01-01,247773.2
2006-01-01,245500.2
2007-01-01,230367.7
2008-01-01,232150.7
2009-01-01,236411.0
2010-01-01,246836.2
2011-01-01,234975.7
2012-01-01,235384.7
2013-01-01,228452.8
2014-01-01,235355.1
2015-01-01,233016.0
2016-01-01,228428.5
2017-01-01,233351.7
2018-01-01,237298.3
2019-01-01,237044.6
2020-01-01,218421.7
2021-01-01,221152.7
2022-01-01,217155.8
