DATE,MEHOINUSLAA672N
1984-01-01,47195
1985-01-01,50998
1986-01-01,49437
1987-01-01,48843
1988-01-01,45259
1989-01-01,48364
1990-01-01,45172
1991-01-01,49216
1992-01-01,48288
1993-01-01,48717
1994-01-01,46567
1995-01-01,49497
1996-01-01,52203
1997-01-01,56161
1998-01-01,52870
1999-01-01,53266
2000-01-01,48464
2001-01-01,51117
2002-01-01,51360
2003-01-01,49479
2004-01-01,52379
2005-01-01,51785
2006-01-01,49152
2007-01-01,54117
2008-01-01,49907
2009-01-01,57512
2010-01-01,48941
2011-01-01,49085
2012-01-01,46207
2013-01-01,54083
2014-01-01,48579
2015-01-01,52516
2016-01-01,47641
2017-01-01,48151
2018-01-01,53919
2019-01-01,54797
2020-01-01,53576
2021-01-01,57206
