DATE,PPAALA22000A156NCEN
1989-01-01,22.4
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,23.9
1994-01-01,.
1995-01-01,21.2
1996-01-01,20.7
1997-01-01,18.4
1998-01-01,18.2
1999-01-01,18.3
2000-01-01,17.3
2001-01-01,18.3
2002-01-01,18.1
2003-01-01,18.1
2004-01-01,19.2
2005-01-01,20.2
2006-01-01,19.4
2007-01-01,18.8
2008-01-01,17.6
2009-01-01,17.6
2010-01-01,18.8
2011-01-01,20.5
2012-01-01,20.1
2013-01-01,20.0
2014-01-01,19.9
2015-01-01,19.5
2016-01-01,20.1
2017-01-01,19.6
2018-01-01,18.7
2019-01-01,18.8
2020-01-01,17.8
2021-01-01,19.5
