DATE,BRLA22M647NCEN
1981-01-01,562183.750000000000
1982-01-01,533149.333333333333
1983-01-01,597283.666666666667
1984-01-01,620605.666666666667
1985-01-01,647772.916666666667
1986-01-01,691233.416666666667
1987-01-01,725664.916666666667
1988-01-01,724996.333333333333
1989-01-01,726501.916666666667
1990-01-01,728657.916666666667
1991-01-01,748127.166666666667
1992-01-01,774905.666666666667
1993-01-01,776894.166666666667
1994-01-01,745426.000000000000
1995-01-01,702756.500000000000
1996-01-01,644465.416666666667
1997-01-01,554834.083333333333
1998-01-01,529686.500000000000
1999-01-01,511591.750000000000
2000-01-01,498518.833333333333
2001-01-01,533945.583333333333
2002-01-01,603686.750000000000
2003-01-01,663640.583333333333
2004-01-01,716357.166666666667
2005-01-01,741012.416666666667
2006-01-01,650853.250000000000
2007-01-01,654668.250000000000
2008-01-01,669393.000000000000
2009-01-01,748895.416666666667
2010-01-01,842287.333333333333
2011-01-01,895048.666666666667
2012-01-01,916991.083333333333
2013-01-01,923363.916666666667
2014-01-01,868757.916666666667
2015-01-01,862016.416666666667
2016-01-01,916412.583333333333
2017-01-01,894855.500000000000
2018-01-01,854057.750000000000
2019-01-01,800068.416666666667
2020-01-01,839036.000000000000
2021-01-01,.
