DATE,MERQGSP
2005-01-01,54926.900000000000
2006-01-01,55448.400000000000
2007-01-01,55359.900000000000
2008-01-01,54653.875000000000
2009-01-01,53630.100000000000
2010-01-01,54305.000000000000
2011-01-01,53789.000000000000
2012-01-01,53679.725000000000
2013-01-01,53239.075000000000
2014-01-01,54037.875000000000
2015-01-01,54425.775000000000
2016-01-01,55565.350000000000
2017-01-01,56469.375000000000
2018-01-01,58099.875000000000
2019-01-01,59553.350000000000
2020-01-01,59881.450000000000
2021-01-01,63594.575000000000
2022-01-01,64765.550000000000
2023-01-01,.
