DATE,MEHOINUSMEA672N
1984-01-01,51427
1985-01-01,49409
1986-01-01,55434
1987-01-01,53993
1988-01-01,58298
1989-01-01,59704
1990-01-01,55372
1991-01-01,54214
1992-01-01,56219
1993-01-01,50802
1994-01-01,54982
1995-01-01,59962
1996-01-01,59852
1997-01-01,55337
1998-01-01,59375
1999-01-01,63393
2000-01-01,58795
2001-01-01,56164
2002-01-01,55656
2003-01-01,54804
2004-01-01,59424
2005-01-01,61085
2006-01-01,61483
2007-01-01,62737
2008-01-01,59576
2009-01-01,60131
2010-01-01,59689
2011-01-01,59992
2012-01-01,58116
2013-01-01,64023
2014-01-01,59237
2015-01-01,58044
2016-01-01,57418
2017-01-01,58928
2018-01-01,63295
2019-01-01,70523
2020-01-01,66667
2021-01-01,71139
