DATE,BRME23M647NCEN
1981-01-01,137773.083333333333
1982-01-01,128884.333333333333
1983-01-01,128353.916666666667
1984-01-01,116712.666666666667
1985-01-01,113733.916666666667
1986-01-01,109285.666666666667
1987-01-01,95608.666666666667
1988-01-01,84594.083333333333
1989-01-01,85545.583333333333
1990-01-01,98260.083333333333
1991-01-01,121716.250000000000
1992-01-01,134989.333333333333
1993-01-01,138126.166666666667
1994-01-01,134908.166666666667
1995-01-01,131337.333333333333
1996-01-01,130309.750000000000
1997-01-01,120587.333333333333
1998-01-01,112669.333333333333
1999-01-01,107146.750000000000
2000-01-01,101216.833333333333
2001-01-01,106202.083333333333
2002-01-01,115290.666666666667
2003-01-01,135779.000000000000
2004-01-01,144867.500000000000
2005-01-01,155748.500000000000
2006-01-01,160180.416666666667
2007-01-01,164174.166666666667
2008-01-01,178246.916666666667
2009-01-01,209954.500000000000
2010-01-01,235110.416666666667
2011-01-01,250325.250000000000
2012-01-01,252399.333333333333
2013-01-01,246217.666666666667
2014-01-01,224160.166666666667
2015-01-01,197124.916666666667
2016-01-01,186594.250000000000
2017-01-01,177862.833333333333
2018-01-01,164188.750000000000
2019-01-01,155875.666666666667
2020-01-01,159349.166666666667
2021-01-01,.
