DATE,MDRQGSP
2005-01-01,301660.650000000000
2006-01-01,305794.075000000000
2007-01-01,306755.825000000000
2008-01-01,314757.575000000000
2009-01-01,311342.200000000000
2010-01-01,325369.650000000000
2011-01-01,332437.225000000000
2012-01-01,332523.500000000000
2013-01-01,334268.925000000000
2014-01-01,339604.625000000000
2015-01-01,348151.775000000000
2016-01-01,360081.950000000000
2017-01-01,366204.400000000000
2018-01-01,367977.400000000000
2019-01-01,368056.425000000000
2020-01-01,352383.975000000000
2021-01-01,368571.075000000000
2022-01-01,368679.800000000000
2023-01-01,.
