DATE,MEHOINUSMDA672N
1984-01-01,73992
1985-01-01,72566
1986-01-01,72426
1987-01-01,80006
1988-01-01,80710
1989-01-01,76195
1990-01-01,78342
1991-01-01,71886
1992-01-01,70618
1993-01-01,73947
1994-01-01,71091
1995-01-01,72682
1996-01-01,75889
1997-01-01,78829
1998-01-01,83325
1999-01-01,85159
2000-01-01,86040
2001-01-01,82116
2002-01-01,85187
2003-01-01,77251
2004-01-01,82105
2005-01-01,84156
2006-01-01,85765
2007-01-01,85970
2008-01-01,80369
2009-01-01,81251
2010-01-01,79951
2011-01-01,83151
2012-01-01,84926
2013-01-01,80794
2014-01-01,87252
2015-01-01,84162
2016-01-01,83277
2017-01-01,90734
2018-01-01,93031
2019-01-01,101283
2020-01-01,99215
2021-01-01,97332
