DATE,PPAAMD24000A156NCEN
1989-01-01,9.3
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,10.2
1994-01-01,.
1995-01-01,9.2
1996-01-01,9.7
1997-01-01,9.5
1998-01-01,8.8
1999-01-01,8.0
2000-01-01,7.9
2001-01-01,7.7
2002-01-01,8.3
2003-01-01,8.8
2004-01-01,9.2
2005-01-01,8.3
2006-01-01,8.0
2007-01-01,8.3
2008-01-01,8.2
2009-01-01,9.2
2010-01-01,9.9
2011-01-01,10.2
2012-01-01,10.4
2013-01-01,10.2
2014-01-01,10.4
2015-01-01,9.9
2016-01-01,9.7
2017-01-01,9.4
2018-01-01,9.1
2019-01-01,9.1
2020-01-01,9.0
2021-01-01,10.3
