DATE,BRMD24M647NCEN
1981-01-01,343475.583333333333
1982-01-01,318176.500000000000
1983-01-01,314789.083333333333
1984-01-01,297105.583333333333
1985-01-01,282345.083333333333
1986-01-01,268035.333333333333
1987-01-01,248617.333333333333
1988-01-01,246502.250000000000
1989-01-01,249415.750000000000
1990-01-01,262854.666666666667
1991-01-01,315986.500000000000
1992-01-01,351807.083333333333
1993-01-01,378635.666666666667
1994-01-01,393704.333333333333
1995-01-01,394522.333333333333
1996-01-01,368241.416666666667
1997-01-01,346738.583333333333
1998-01-01,312629.166666666667
1999-01-01,247411.916666666667
2000-01-01,214460.250000000000
2001-01-01,210800.333333333333
2002-01-01,234601.583333333333
2003-01-01,258120.333333333333
2004-01-01,277606.000000000000
2005-01-01,293847.250000000000
2006-01-01,306817.583333333333
2007-01-01,325347.583333333333
2008-01-01,376988.333333333333
2009-01-01,483145.583333333333
2010-01-01,589411.750000000000
2011-01-01,685836.250000000000
2012-01-01,726600.916666666667
2013-01-01,781947.916666666667
2014-01-01,785850.916666666667
2015-01-01,777791.500000000000
2016-01-01,728046.250000000000
2017-01-01,672530.333333333333
2018-01-01,639101.000000000000
2019-01-01,613311.833333333333
2020-01-01,747712.583333333333
2021-01-01,.
