DATE,MARQGSP
2005-01-01,386803.450000000000
2006-01-01,395535.850000000000
2007-01-01,406421.150000000000
2008-01-01,414919.875000000000
2009-01-01,407219.550000000000
2010-01-01,425792.725000000000
2011-01-01,434494.525000000000
2012-01-01,442916.900000000000
2013-01-01,444874.025000000000
2014-01-01,451568.925000000000
2015-01-01,468060.900000000000
2016-01-01,475349.025000000000
2017-01-01,482808.425000000000
2018-01-01,501541.450000000000
2019-01-01,514170.850000000000
2020-01-01,500000.950000000000
2021-01-01,533102.050000000000
2022-01-01,543871.725000000000
2023-01-01,.
