DATE,MEHOINUSMAA672N
1984-01-01,67145
1985-01-01,67922
1986-01-01,71799
1987-01-01,73762
1988-01-01,73337
1989-01-01,76343
1990-01-01,73080
1991-01-01,69478
1992-01-01,69016
1993-01-01,68624
1994-01-01,73452
1995-01-01,68313
1996-01-01,68128
1997-01-01,70957
1998-01-01,70546
1999-01-01,71782
2000-01-01,73762
2001-01-01,80157
2002-01-01,75292
2003-01-01,75244
2004-01-01,74795
2005-01-01,77904
2006-01-01,74533
2007-01-01,76582
2008-01-01,76091
2009-01-01,75158
2010-01-01,75882
2011-01-01,76435
2012-01-01,75256
2013-01-01,72844
2014-01-01,72344
2015-01-01,77605
2016-01-01,81591
2017-01-01,84269
2018-01-01,93163
2019-01-01,92949
2020-01-01,91912
2021-01-01,86566
