DATE,PPAAMA25000A156NCEN
1989-01-01,8.4
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,11.1
1994-01-01,.
1995-01-01,9.7
1996-01-01,9.8
1997-01-01,10.7
1998-01-01,9.0
1999-01-01,9.7
2000-01-01,8.4
2001-01-01,8.2
2002-01-01,9.0
2003-01-01,9.5
2004-01-01,9.9
2005-01-01,10.3
2006-01-01,10.0
2007-01-01,10.0
2008-01-01,10.1
2009-01-01,10.3
2010-01-01,11.4
2011-01-01,11.6
2012-01-01,11.9
2013-01-01,11.9
2014-01-01,11.7
2015-01-01,11.5
2016-01-01,10.5
2017-01-01,10.5
2018-01-01,10
2019-01-01,9.5
2020-01-01,9.4
2021-01-01,10.4
