DATE,BRMA25M647NCEN
1981-01-01,439054.750000000000
1982-01-01,412842.750000000000
1983-01-01,372029.333333333333
1984-01-01,350955.916666666667
1985-01-01,333498.250000000000
1986-01-01,319011.416666666667
1987-01-01,299979.666666666667
1988-01-01,303653.833333333333
1989-01-01,321126.666666666667
1990-01-01,358425.500000000000
1991-01-01,409914.083333333333
1992-01-01,431863.083333333333
1993-01-01,443876.666666666667
1994-01-01,437435.666666666667
1995-01-01,398351.916666666667
1996-01-01,369182.833333333333
1997-01-01,324087.750000000000
1998-01-01,281475.750000000000
1999-01-01,253904.416666666667
2000-01-01,226408.666666666667
2001-01-01,222342.833333333333
2002-01-01,249076.166666666667
2003-01-01,307677.500000000000
2004-01-01,342334.750000000000
2005-01-01,384661.750000000000
2006-01-01,438592.666666666667
2007-01-01,464504.333333333333
2008-01-01,528542.166666666667
2009-01-01,664186.416666666667
2010-01-01,768841.916666666667
2011-01-01,824553.416666666667
2012-01-01,872310.250000000000
2013-01-01,887319.083333333333
2014-01-01,844644.083333333333
2015-01-01,779978.333333333333
2016-01-01,774994.333333333333
2017-01-01,764606.583333333333
2018-01-01,769104.250000000000
2019-01-01,759071.000000000000
2020-01-01,853010.750000000000
2021-01-01,.
