DATE,MIRQGSP
2005-01-01,457137.725000000000
2006-01-01,449853.500000000000
2007-01-01,446943.150000000000
2008-01-01,420973.950000000000
2009-01-01,383140.075000000000
2010-01-01,404216.850000000000
2011-01-01,414834.350000000000
2012-01-01,422691.175000000000
2013-01-01,428737.600000000000
2014-01-01,434313.125000000000
2015-01-01,443831.225000000000
2016-01-01,452325.225000000000
2017-01-01,457614.025000000000
2018-01-01,466559.425000000000
2019-01-01,467106.975000000000
2020-01-01,448455.325000000000
2021-01-01,481778.025000000000
2022-01-01,490318.025000000000
2023-01-01,.
