DATE,MEHOINUSMIA672N
1984-01-01,57197
1985-01-01,58374
1986-01-01,62962
1987-01-01,63378
1988-01-01,65077
1989-01-01,65107
1990-01-01,60358
1991-01-01,62480
1992-01-01,61249
1993-01-01,60474
1994-01-01,63992
1995-01-01,64509
1996-01-01,67664
1997-01-01,65417
1998-01-01,69673
1999-01-01,75182
2000-01-01,71804
2001-01-01,69103
2002-01-01,64509
2003-01-01,66483
2004-01-01,60757
2005-01-01,63880
2006-01-01,65531
2007-01-01,64670
2008-01-01,62806
2009-01-01,58222
2010-01-01,57628
2011-01-01,59010
2012-01-01,59129
2013-01-01,65898
2014-01-01,59575
2015-01-01,61986
2016-01-01,64458
2017-01-01,62342
2018-01-01,65222
2019-01-01,67951
2020-01-01,67399
2021-01-01,64488
