DATE,PPAAMI26000A156NCEN
1989-01-01,12.1
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,15.0
1994-01-01,.
1995-01-01,12.6
1996-01-01,12.2
1997-01-01,11.5
1998-01-01,11.4
1999-01-01,9.9
2000-01-01,9.7
2001-01-01,9.8
2002-01-01,10.9
2003-01-01,11.0
2004-01-01,12.5
2005-01-01,13.1
2006-01-01,13.5
2007-01-01,13.9
2008-01-01,14.4
2009-01-01,16.1
2010-01-01,16.7
2011-01-01,17.5
2012-01-01,17.4
2013-01-01,17.0
2014-01-01,16.2
2015-01-01,15.7
2016-01-01,14.9
2017-01-01,14.1
2018-01-01,14
2019-01-01,12.9
2020-01-01,12.6
2021-01-01,13.0
