DATE,BRMI26M647NCEN
1981-01-01,951640.000000000000
1982-01-01,1002255.500000000000
1983-01-01,1096563.500000000000
1984-01-01,1050549.000000000000
1985-01-01,968962.083333333333
1986-01-01,916409.083333333333
1987-01-01,879933.416666666667
1988-01-01,874490.750000000000
1989-01-01,878102.166666666667
1990-01-01,934567.750000000000
1991-01-01,985997.000000000000
1992-01-01,998710.083333333333
1993-01-01,1030824.500000000000
1994-01-01,1020632.000000000000
1995-01-01,953671.083333333333
1996-01-01,906328.750000000000
1997-01-01,814028.666666666667
1998-01-01,757019.333333333333
1999-01-01,654529.166666666667
2000-01-01,605857.333333333333
2001-01-01,663959.916666666667
2002-01-01,768659.250000000000
2003-01-01,866072.833333333333
2004-01-01,972144.166666666667
2005-01-01,1070209.750000000000
2006-01-01,1155083.416666666667
2007-01-01,1214386.166666666667
2008-01-01,1282553.166666666667
2009-01-01,1541592.166666666667
2010-01-01,1836499.666666666667
2011-01-01,1914424.416666666667
2012-01-01,1812869.916666666667
2013-01-01,1754181.583333333333
2014-01-01,1652176.000000000000
2015-01-01,1546851.583333333333
2016-01-01,1450349.666666666667
2017-01-01,1351853.583333333333
2018-01-01,1254205.750000000000
2019-01-01,1164147.500000000000
2020-01-01,1284826.750000000000
2021-01-01,.
