DATE,MNRQGSP
2005-01-01,284636.950000000000
2006-01-01,284381.950000000000
2007-01-01,286299.200000000000
2008-01-01,288420.650000000000
2009-01-01,277494.100000000000
2010-01-01,287140.125000000000
2011-01-01,293783.150000000000
2012-01-01,298328.300000000000
2013-01-01,305486.425000000000
2014-01-01,314091.350000000000
2015-01-01,318913.225000000000
2016-01-01,324030.300000000000
2017-01-01,327483.200000000000
2018-01-01,336892.275000000000
2019-01-01,340557.150000000000
2020-01-01,328489.550000000000
2021-01-01,346204.325000000000
2022-01-01,350314.550000000000
2023-01-01,.
