DATE,MEHOINUSMNA672N
1984-01-01,60861
1985-01-01,57444
1986-01-01,62579
1987-01-01,64247
1988-01-01,64226
1989-01-01,63859
1990-01-01,63439
1991-01-01,57348
1992-01-01,58808
1993-01-01,62362
1994-01-01,61018
1995-01-01,67178
1996-01-01,70711
1997-01-01,71871
1998-01-01,79843
1999-01-01,76730
2000-01-01,85592
2001-01-01,80814
2002-01-01,82491
2003-01-01,78003
2004-01-01,80668
2005-01-01,75398
2006-01-01,75720
2007-01-01,76051
2008-01-01,69286
2009-01-01,71002
2010-01-01,65156
2011-01-01,69804
2012-01-01,73055
2013-01-01,74935
2014-01-01,77032
2015-01-01,78599
2016-01-01,79278
2017-01-01,77341
2018-01-01,77488
2019-01-01,86292
2020-01-01,82431
2021-01-01,80441
