DATE,PPAAMN27000A156NCEN
1989-01-01,9.6
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,10.8
1994-01-01,.
1995-01-01,8.7
1996-01-01,8.8
1997-01-01,8.9
1998-01-01,8.9
1999-01-01,7.5
2000-01-01,6.9
2001-01-01,7.2
2002-01-01,7.5
2003-01-01,8.0
2004-01-01,8.1
2005-01-01,9.2
2006-01-01,9.7
2007-01-01,9.5
2008-01-01,9.6
2009-01-01,10.9
2010-01-01,11.5
2011-01-01,11.8
2012-01-01,11.4
2013-01-01,11.2
2014-01-01,11.4
2015-01-01,10.2
2016-01-01,9.9
2017-01-01,9.5
2018-01-01,9.6
2019-01-01,8.9
2020-01-01,8.3
2021-01-01,9.3
