DATE,BRMN27M647NCEN
1981-01-01,203555.333333333333
1982-01-01,216269.500000000000
1983-01-01,242332.083333333333
1984-01-01,235246.500000000000
1985-01-01,226394.666666666667
1986-01-01,230487.333333333333
1987-01-01,232811.833333333333
1988-01-01,239046.416666666667
1989-01-01,248157.750000000000
1990-01-01,267988.416666666667
1991-01-01,292560.000000000000
1992-01-01,311748.916666666667
1993-01-01,318127.916666666667
1994-01-01,316757.083333333333
1995-01-01,304122.000000000000
1996-01-01,286134.833333333333
1997-01-01,248006.666666666667
1998-01-01,216611.333333333333
1999-01-01,204912.750000000000
2000-01-01,194763.916666666667
2001-01-01,201751.583333333333
2002-01-01,221351.916666666667
2003-01-01,238267.583333333333
2004-01-01,251557.750000000000
2005-01-01,261362.250000000000
2006-01-01,264818.833333333333
2007-01-01,281880.333333333333
2008-01-01,300109.583333333333
2009-01-01,369482.500000000000
2010-01-01,446729.083333333333
2011-01-01,521202.833333333333
2012-01-01,541967.833333333333
2013-01-01,554447.916666666667
2014-01-01,522016.500000000000
2015-01-01,490641.083333333333
2016-01-01,472951.833333333333
2017-01-01,448431.000000000000
2018-01-01,423439.083333333333
2019-01-01,403193.333333333333
2020-01-01,424130.083333333333
2021-01-01,.
