DATE,MEHOINUSMOA672N
1984-01-01,51743
1985-01-01,52828
1986-01-01,51887
1987-01-01,54268
1988-01-01,51764
1989-01-01,56057
1990-01-01,55106
1991-01-01,54327
1992-01-01,51936
1993-01-01,53105
1994-01-01,54754
1995-01-01,61674
1996-01-01,59108
1997-01-01,61721
1998-01-01,66974
1999-01-01,67505
2000-01-01,71149
2001-01-01,63415
2002-01-01,64601
2003-01-01,64623
2004-01-01,60586
2005-01-01,59782
2006-01-01,60051
2007-01-01,60263
2008-01-01,58075
2009-01-01,61735
2010-01-01,57057
2011-01-01,55261
2012-01-01,58832
2013-01-01,53941
2014-01-01,64873
2015-01-01,67696
2016-01-01,62115
2017-01-01,62481
2018-01-01,66600
2019-01-01,64218
2020-01-01,65081
2021-01-01,63594
