DATE,PPAAMO29000A156NCEN
1989-01-01,13.0
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,15.1
1994-01-01,.
1995-01-01,13.4
1996-01-01,12.6
1997-01-01,12.2
1998-01-01,11.7
1999-01-01,11.4
2000-01-01,10.6
2001-01-01,11.0
2002-01-01,11.3
2003-01-01,11.6
2004-01-01,13.0
2005-01-01,13.6
2006-01-01,13.8
2007-01-01,13.3
2008-01-01,13.5
2009-01-01,14.6
2010-01-01,15.3
2011-01-01,15.8
2012-01-01,16.2
2013-01-01,15.8
2014-01-01,15.5
2015-01-01,14.8
2016-01-01,14
2017-01-01,13.4
2018-01-01,13.2
2019-01-01,12.9
2020-01-01,12.1
2021-01-01,12.8
