DATE,BRMO29M647NCEN
1981-01-01,378381.416666666667
1982-01-01,391280.250000000000
1983-01-01,426934.833333333333
1984-01-01,394122.750000000000
1985-01-01,364650.500000000000
1986-01-01,384225.333333333333
1987-01-01,381924.166666666667
1988-01-01,394256.750000000000
1989-01-01,409205.166666666667
1990-01-01,443132.666666666667
1991-01-01,507481.666666666667
1992-01-01,560548.916666666667
1993-01-01,590717.500000000000
1994-01-01,591089.916666666667
1995-01-01,569811.583333333333
1996-01-01,543009.333333333333
1997-01-01,452268.583333333333
1998-01-01,406858.416666666667
1999-01-01,412226.750000000000
2000-01-01,429285.750000000000
2001-01-01,469064.000000000000
2002-01-01,525365.250000000000
2003-01-01,622833.583333333333
2004-01-01,720128.666666666667
2005-01-01,776752.333333333333
2006-01-01,803105.833333333333
2007-01-01,833940.250000000000
2008-01-01,811525.500000000000
2009-01-01,832563.583333333333
2010-01-01,914769.166666666667
2011-01-01,948981.416666666667
2012-01-01,943991.833333333333
2013-01-01,916828.666666666667
2014-01-01,846930.833333333333
2015-01-01,844626.750000000000
2016-01-01,790681.833333333333
2017-01-01,756005.250000000000
2018-01-01,724712.250000000000
2019-01-01,682968.166666666667
2020-01-01,724620.250000000000
2021-01-01,.
