DATE,PPAAMT30000A156NCEN
1989-01-01,15.0
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,15.2
1994-01-01,.
1995-01-01,15.8
1996-01-01,15.1
1997-01-01,15.5
1998-01-01,15.7
1999-01-01,14.3
2000-01-01,13.3
2001-01-01,14.0
2002-01-01,14.0
2003-01-01,14.2
2004-01-01,13.6
2005-01-01,14.6
2006-01-01,14.4
2007-01-01,14.1
2008-01-01,14.1
2009-01-01,15.0
2010-01-01,15.2
2011-01-01,15.2
2012-01-01,15.6
2013-01-01,16.1
2014-01-01,15.2
2015-01-01,14.4
2016-01-01,13.4
2017-01-01,12.7
2018-01-01,12.9
2019-01-01,12.6
2020-01-01,12.4
2021-01-01,12.0
