DATE,MEHOINUSMTA646N
1984-01-01,19536
1985-01-01,20236
1986-01-01,20328
1987-01-01,20474
1988-01-01,22231
1989-01-01,23692
1990-01-01,23375
1991-01-01,24827
1992-01-01,26525
1993-01-01,26470
1994-01-01,27631
1995-01-01,27757
1996-01-01,28684
1997-01-01,29212
1998-01-01,31577
1999-01-01,31038
2000-01-01,32777
2001-01-01,32126
2002-01-01,34835
2003-01-01,34108
2004-01-01,33956
2005-01-01,37313
2006-01-01,41105
2007-01-01,43655
2008-01-01,42900
2009-01-01,40437
2010-01-01,41280
2011-01-01,40277
2012-01-01,45088
2013-01-01,43201
2014-01-01,51102
2015-01-01,51395
2016-01-01,57075
2017-01-01,57407
2018-01-01,57679
2019-01-01,60195
2020-01-01,56741
2021-01-01,64999
