DATE,BRMT30M647NCEN
1981-01-01,47366.000000000000
1982-01-01,50957.500000000000
1983-01-01,55932.000000000000
1984-01-01,58349.500000000000
1985-01-01,58800.666666666667
1986-01-01,60128.750000000000
1987-01-01,60131.333333333333
1988-01-01,57549.166666666667
1989-01-01,55889.666666666667
1990-01-01,57177.250000000000
1991-01-01,62322.583333333333
1992-01-01,67650.083333333333
1993-01-01,70669.500000000000
1994-01-01,71446.166666666667
1995-01-01,70848.916666666667
1996-01-01,70172.083333333333
1997-01-01,65370.583333333333
1998-01-01,61810.166666666667
1999-01-01,60586.666666666667
2000-01-01,59654.416666666667
2001-01-01,62664.000000000000
2002-01-01,65417.500000000000
2003-01-01,73585.666666666667
2004-01-01,78397.750000000000
2005-01-01,81338.750000000000
2006-01-01,81250.416666666667
2007-01-01,79770.166666666667
2008-01-01,81372.000000000000
2009-01-01,98308.083333333333
2010-01-01,117034.583333333333
2011-01-01,125673.833333333333
2012-01-01,126568.333333333333
2013-01-01,127939.000000000000
2014-01-01,123953.416666666667
2015-01-01,117024.250000000000
2016-01-01,118409.250000000000
2017-01-01,120018.666666666667
2018-01-01,113084.500000000000
2019-01-01,106684.583333333333
2020-01-01,102802.083333333333
2021-01-01,.
