DATE,PPAANV32000A156NCEN
1989-01-01,10.0
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,11.5
1994-01-01,.
1995-01-01,10.5
1996-01-01,9.6
1997-01-01,10.7
1998-01-01,10.5
1999-01-01,10.2
2000-01-01,9.4
2001-01-01,9.3
2002-01-01,10.1
2003-01-01,11.0
2004-01-01,11.1
2005-01-01,11.1
2006-01-01,10.5
2007-01-01,10.6
2008-01-01,11.2
2009-01-01,12.4
2010-01-01,14.8
2011-01-01,15.8
2012-01-01,16.2
2013-01-01,15.8
2014-01-01,15.4
2015-01-01,14.9
2016-01-01,14.1
2017-01-01,13.3
2018-01-01,13.1
2019-01-01,12.7
2020-01-01,12.5
2021-01-01,14.0
