DATE,NJRQGSP
2005-01-01,507894.700000000000
2006-01-01,516681.375000000000
2007-01-01,520898.350000000000
2008-01-01,534501.400000000000
2009-01-01,506850.750000000000
2010-01-01,513917.950000000000
2011-01-01,507604.000000000000
2012-01-01,517195.850000000000
2013-01-01,523725.825000000000
2014-01-01,522166.475000000000
2015-01-01,529953.750000000000
2016-01-01,535055.275000000000
2017-01-01,537578.550000000000
2018-01-01,550059.525000000000
2019-01-01,559648.750000000000
2020-01-01,535323.775000000000
2021-01-01,566893.200000000000
2022-01-01,581704.225000000000
2023-01-01,.
