DATE,MEHOINUSNJA672N
1984-01-01,69180
1985-01-01,74599
1986-01-01,75055
1987-01-01,78338
1988-01-01,80125
1989-01-01,82762
1990-01-01,78094
1991-01-01,77911
1992-01-01,74029
1993-01-01,74986
1994-01-01,76681
1995-01-01,77788
1996-01-01,81884
1997-01-01,81085
1998-01-01,83009
1999-01-01,81128
2000-01-01,79524
2001-01-01,79418
2002-01-01,82410
2003-01-01,82761
2004-01-01,79476
2005-01-01,88128
2006-01-01,91680
2007-01-01,79260
2008-01-01,82381
2009-01-01,81999
2010-01-01,78415
2011-01-01,75258
2012-01-01,78845
2013-01-01,74271
2014-01-01,74740
2015-01-01,78173
2016-01-01,77303
2017-01-01,78739
2018-01-01,80033
2019-01-01,92969
2020-01-01,89543
2021-01-01,88559
