DATE,PPAANJ34000A156NCEN
1989-01-01,8.0
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,10.0
1994-01-01,.
1995-01-01,8.7
1996-01-01,9.0
1997-01-01,9.3
1998-01-01,8.8
1999-01-01,8.1
2000-01-01,7.8
2001-01-01,7.8
2002-01-01,8.3
2003-01-01,8.9
2004-01-01,8.4
2005-01-01,8.7
2006-01-01,8.7
2007-01-01,8.5
2008-01-01,8.7
2009-01-01,9.4
2010-01-01,10.2
2011-01-01,10.4
2012-01-01,10.7
2013-01-01,11.4
2014-01-01,11.1
2015-01-01,10.8
2016-01-01,10.4
2017-01-01,10
2018-01-01,9.5
2019-01-01,9.1
2020-01-01,9.4
2021-01-01,10.2
