DATE,BRNJ34M647NCEN
1981-01-01,592148.333333333333
1982-01-01,544834.250000000000
1983-01-01,536012.250000000000
1984-01-01,491797.583333333333
1985-01-01,455716.166666666667
1986-01-01,417001.500000000000
1987-01-01,374056.750000000000
1988-01-01,355100.083333333333
1989-01-01,356336.833333333333
1990-01-01,395846.166666666667
1991-01-01,452745.583333333333
1992-01-01,504464.500000000000
1993-01-01,534750.666666666667
1994-01-01,548166.333333333333
1995-01-01,549313.333333333333
1996-01-01,532481.666666666667
1997-01-01,474167.333333333333
1998-01-01,412327.500000000000
1999-01-01,376173.416666666667
2000-01-01,335418.250000000000
2001-01-01,315736.000000000000
2002-01-01,322523.166666666667
2003-01-01,345950.916666666667
2004-01-01,375927.250000000000
2005-01-01,397185.666666666667
2006-01-01,406925.000000000000
2007-01-01,418850.500000000000
2008-01-01,448963.833333333333
2009-01-01,526653.583333333333
2010-01-01,655919.500000000000
2011-01-01,772694.000000000000
2012-01-01,832795.416666666667
2013-01-01,877022.583333333333
2014-01-01,896747.250000000000
2015-01-01,900883.333333333333
2016-01-01,868032.750000000000
2017-01-01,801126.666666666667
2018-01-01,746441.333333333333
2019-01-01,692303.916666666667
2020-01-01,725515.833333333333
2021-01-01,.
