DATE,NMRQGSP
2005-01-01,84034.425000000000
2006-01-01,86058.425000000000
2007-01-01,86738.725000000000
2008-01-01,86965.200000000000
2009-01-01,88069.950000000000
2010-01-01,87610.225000000000
2011-01-01,87592.925000000000
2012-01-01,87925.225000000000
2013-01-01,86856.600000000000
2014-01-01,88991.175000000000
2015-01-01,89701.300000000000
2016-01-01,89151.350000000000
2017-01-01,88962.875000000000
2018-01-01,90933.625000000000
2019-01-01,94897.425000000000
2020-01-01,92496.275000000000
2021-01-01,93625.050000000000
2022-01-01,94663.425000000000
2023-01-01,.
