DATE,MEHOINUSNMA672N
1984-01-01,51382
1985-01-01,49178
1986-01-01,46964
1987-01-01,47491
1988-01-01,42607
1989-01-01,47817
1990-01-01,50483
1991-01-01,51631
1992-01-01,49087
1993-01-01,49543
1994-01-01,48796
1995-01-01,46029
1996-01-01,43274
1997-01-01,50801
1998-01-01,52550
1999-01-01,53136
2000-01-01,55366
2001-01-01,50813
2002-01-01,53548
2003-01-01,51839
2004-01-01,56884
2005-01-01,54165
2006-01-01,53920
2007-01-01,58103
2008-01-01,53110
2009-01-01,55118
2010-01-01,56206
2011-01-01,50683
2012-01-01,51337
2013-01-01,46792
2014-01-01,53482
2015-01-01,51598
2016-01-01,54703
2017-01-01,50401
2018-01-01,52096
2019-01-01,56287
2020-01-01,53283
2021-01-01,53463
