DATE,PPAANM35000A156NCEN
1989-01-01,19.0
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,21.6
1994-01-01,.
1995-01-01,20.2
1996-01-01,20.6
1997-01-01,19.3
1998-01-01,19.0
1999-01-01,18.2
2000-01-01,17.3
2001-01-01,18.0
2002-01-01,17.7
2003-01-01,17.7
2004-01-01,16.7
2005-01-01,18.4
2006-01-01,18.3
2007-01-01,17.9
2008-01-01,17.0
2009-01-01,18.2
2010-01-01,19.8
2011-01-01,20.9
2012-01-01,20.6
2013-01-01,21.4
2014-01-01,20.6
2015-01-01,19.8
2016-01-01,19.1
2017-01-01,19
2018-01-01,18.8
2019-01-01,17.5
2020-01-01,16.8
2021-01-01,17.7
