DATE,BRNM35M647NCEN
1981-01-01,176169.000000000000
1982-01-01,171402.916666666667
1983-01-01,174517.500000000000
1984-01-01,162270.500000000000
1985-01-01,154747.750000000000
1986-01-01,155280.250000000000
1987-01-01,158721.833333333333
1988-01-01,150510.916666666667
1989-01-01,150959.666666666667
1990-01-01,162520.166666666667
1991-01-01,196600.416666666667
1992-01-01,229106.750000000000
1993-01-01,244959.500000000000
1994-01-01,243778.083333333333
1995-01-01,237646.166666666667
1996-01-01,232032.250000000000
1997-01-01,193478.583333333333
1998-01-01,180127.750000000000
1999-01-01,176807.250000000000
2000-01-01,167622.750000000000
2001-01-01,163004.500000000000
2002-01-01,176785.833333333333
2003-01-01,200681.333333333333
2004-01-01,229991.166666666667
2005-01-01,242296.250000000000
2006-01-01,242975.500000000000
2007-01-01,232142.750000000000
2008-01-01,247725.750000000000
2009-01-01,308529.750000000000
2010-01-01,372933.416666666667
2011-01-01,422017.500000000000
2012-01-01,440066.250000000000
2013-01-01,435818.333333333333
2014-01-01,436152.666666666667
2015-01-01,456775.916666666667
2016-01-01,472248.666666666667
2017-01-01,458553.166666666667
2018-01-01,454480.833333333333
2019-01-01,447398.500000000000
2020-01-01,479722.333333333333
2021-01-01,.
