DATE,MEHOINUSNYA672N
1984-01-01,54861
1985-01-01,56922
1986-01-01,59223
1987-01-01,60362
1988-01-01,63847
1989-01-01,66633
1990-01-01,63693
1991-01-01,61852
1992-01-01,58941
1993-01-01,58687
1994-01-01,57853
1995-01-01,58492
1996-01-01,61083
1997-01-01,60446
1998-01-01,62297
1999-01-01,65231
2000-01-01,64282
2001-01-01,64604
2002-01-01,63378
2003-01-01,63184
2004-01-01,64198
2005-01-01,65609
2006-01-01,64958
2007-01-01,64112
2008-01-01,63655
2009-01-01,63567
2010-01-01,61993
2011-01-01,61131
2012-01-01,56368
2013-01-01,58209
2014-01-01,62216
2015-01-01,66334
2016-01-01,69364
2017-01-01,68021
2018-01-01,72586
2019-01-01,76149
2020-01-01,71865
2021-01-01,72920
