DATE,PPAANY36000A156NCEN
1989-01-01,12.3
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,16.3
1994-01-01,.
1995-01-01,15.8
1996-01-01,16.3
1997-01-01,15.6
1998-01-01,15.4
1999-01-01,13.7
2000-01-01,13.2
2001-01-01,13.7
2002-01-01,13.9
2003-01-01,14.3
2004-01-01,14.5
2005-01-01,13.9
2006-01-01,14.2
2007-01-01,13.8
2008-01-01,13.7
2009-01-01,14.2
2010-01-01,15.0
2011-01-01,16.1
2012-01-01,15.9
2013-01-01,16.0
2014-01-01,16.0
2015-01-01,15.5
2016-01-01,14.8
2017-01-01,14.1
2018-01-01,13.7
2019-01-01,13.1
2020-01-01,12.7
2021-01-01,14.0
