DATE,BRNY36M647NCEN
1981-01-01,1860880.500000000000
1982-01-01,1810825.000000000000
1983-01-01,1875443.166666666667
1984-01-01,1871014.750000000000
1985-01-01,1812392.083333333333
1986-01-01,1704410.916666666667
1987-01-01,1635080.916666666667
1988-01-01,1521959.916666666667
1989-01-01,1456084.916666666667
1990-01-01,1590776.916666666667
1991-01-01,1763338.583333333333
1992-01-01,1924092.166666666667
1993-01-01,2075662.000000000000
1994-01-01,2176309.833333333333
1995-01-01,2162120.916666666667
1996-01-01,2071997.166666666667
1997-01-01,1831177.583333333333
1998-01-01,1599845.000000000000
1999-01-01,1524256.416666666667
2000-01-01,1419457.250000000000
2001-01-01,1328512.000000000000
2002-01-01,1365366.750000000000
2003-01-01,1471901.666666666667
2004-01-01,1646074.500000000000
2005-01-01,1767780.000000000000
2006-01-01,1788832.916666666667
2007-01-01,1813682.500000000000
2008-01-01,2029589.333333333333
2009-01-01,2445300.166666666667
2010-01-01,2835074.750000000000
2011-01-01,3029360.916666666667
2012-01-01,3099642.583333333333
2013-01-01,3173533.500000000000
2014-01-01,3092073.333333333333
2015-01-01,3019718.916666666667
2016-01-01,2956395.250000000000
2017-01-01,2883745.750000000000
2018-01-01,2766204.083333333333
2019-01-01,2627003.833333333333
2020-01-01,2702129.833333333333
2021-01-01,.
