DATE,ORRQGSP
2005-01-01,158163.450000000000
2006-01-01,166107.200000000000
2007-01-01,168975.150000000000
2008-01-01,173598.425000000000
2009-01-01,165527.200000000000
2010-01-01,169234.025000000000
2011-01-01,173831.725000000000
2012-01-01,174610.975000000000
2013-01-01,175933.800000000000
2014-01-01,181220.575000000000
2015-01-01,189946.550000000000
2016-01-01,198079.325000000000
2017-01-01,205524.000000000000
2018-01-01,214902.550000000000
2019-01-01,219588.000000000000
2020-01-01,215743.625000000000
2021-01-01,227979.075000000000
2022-01-01,234806.150000000000
2023-01-01,.
