DATE,MEHOINUSORA672N
1984-01-01,53297
1985-01-01,52720
1986-01-01,58626
1987-01-01,57283
1988-01-01,61270
1989-01-01,60356
1990-01-01,59035
1991-01-01,58731
1992-01-01,60604
1993-01-01,61355
1994-01-01,57050
1995-01-01,64417
1996-01-01,61225
1997-01-01,62893
1998-01-01,65084
1999-01-01,66259
2000-01-01,67051
2001-01-01,63314
2002-01-01,63130
2003-01-01,61486
2004-01-01,58943
2005-01-01,61413
2006-01-01,63435
2007-01-01,65805
2008-01-01,65252
2009-01-01,62151
2010-01-01,63016
2011-01-01,62205
2012-01-01,61210
2013-01-01,57082
2014-01-01,67445
2015-01-01,69569
2016-01-01,66765
2017-01-01,69077
2018-01-01,74626
2019-01-01,78860
2020-01-01,80443
2021-01-01,81855
