DATE,PPAAOR41000A156NCEN
1989-01-01,12.5
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,13.2
1994-01-01,.
1995-01-01,12.5
1996-01-01,12.3
1997-01-01,11.6
1998-01-01,12.1
1999-01-01,11.3
2000-01-01,10.6
2001-01-01,11.1
2002-01-01,11.3
2003-01-01,12.0
2004-01-01,12.9
2005-01-01,14.1
2006-01-01,13.4
2007-01-01,13.0
2008-01-01,13.5
2009-01-01,14.3
2010-01-01,15.8
2011-01-01,17.3
2012-01-01,17.0
2013-01-01,16.5
2014-01-01,16.4
2015-01-01,15.2
2016-01-01,13.4
2017-01-01,13.2
2018-01-01,12.5
2019-01-01,11.5
2020-01-01,11.0
2021-01-01,12.2
