DATE,PARGSP
1997-01-01,496658.9
1998-01-01,509550.8
1999-01-01,524960.9
2000-01-01,538790.2
2001-01-01,547260.9
2002-01-01,555055.9
2003-01-01,568242.4
2004-01-01,584328.3
2005-01-01,594855.1
2006-01-01,597219.2
2007-01-01,617309.9
2008-01-01,629807.9
2009-01-01,610147.9
2010-01-01,627726.3
2011-01-01,637114.0
2012-01-01,647925.9
2013-01-01,655929.2
2014-01-01,669643.1
2015-01-01,682466.1
2016-01-01,688359.4
2017-01-01,694866.6
2018-01-01,704027.8
2019-01-01,715060.7
2020-01-01,680957.4
2021-01-01,710973.1
2022-01-01,726035.6
