DATE,PPAAPA42000A156NCEN
1989-01-01,10.4
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,12.9
1994-01-01,.
1995-01-01,11.4
1996-01-01,11.5
1997-01-01,10.9
1998-01-01,10.7
1999-01-01,10.0
2000-01-01,9.5
2001-01-01,10.0
2002-01-01,10.0
2003-01-01,10.6
2004-01-01,11.2
2005-01-01,11.9
2006-01-01,12.0
2007-01-01,11.6
2008-01-01,12.1
2009-01-01,12.5
2010-01-01,13.4
2011-01-01,13.7
2012-01-01,13.7
2013-01-01,13.7
2014-01-01,13.6
2015-01-01,13.1
2016-01-01,12.9
2017-01-01,12.5
2018-01-01,12.2
2019-01-01,12
2020-01-01,10.9
2021-01-01,12.0
