DATE,RIRGSP
1997-01-01,40145.8
1998-01-01,41912.5
1999-01-01,43144.9
2000-01-01,45178.6
2001-01-01,45749.8
2002-01-01,47224.5
2003-01-01,48571.1
2004-01-01,50513.8
2005-01-01,51369.7
2006-01-01,52899.6
2007-01-01,51469.1
2008-01-01,50575.2
2009-01-01,50004.3
2010-01-01,51332.8
2011-01-01,51279.6
2012-01-01,51583.0
2013-01-01,51910.8
2014-01-01,52293.4
2015-01-01,52819.1
2016-01-01,52902.6
2017-01-01,52691.8
2018-01-01,52553.3
2019-01-01,53411.4
2020-01-01,51516.1
2021-01-01,54606.0
2022-01-01,55413.3
