DATE,MEHOINUSRIA672N
1984-01-01,53828
1985-01-01,59296
1986-01-01,62808
1987-01-01,64728
1988-01-01,65894
1989-01-01,63730
1990-01-01,64453
1991-01-01,59988
1992-01-01,57766
1993-01-01,62042
1994-01-01,57906
1995-01-01,62620
1996-01-01,63802
1997-01-01,58756
1998-01-01,67782
1999-01-01,69685
2000-01-01,66574
2001-01-01,70140
2002-01-01,64059
2003-01-01,66024
2004-01-01,68923
2005-01-01,68819
2006-01-01,72386
2007-01-01,71010
2008-01-01,67161
2009-01-01,65362
2010-01-01,64287
2011-01-01,59196
2012-01-01,66281
2013-01-01,65614
2014-01-01,67168
2015-01-01,63699
2016-01-01,69467
2017-01-01,72285
2018-01-01,67183
2019-01-01,74344
2020-01-01,83918
2021-01-01,74982
