DATE,PPAARI44000A156NCEN
1989-01-01,9.5
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,12.4
1994-01-01,.
1995-01-01,11.6
1996-01-01,11.8
1997-01-01,11.2
1998-01-01,10.6
1999-01-01,10.8
2000-01-01,10.2
2001-01-01,10.2
2002-01-01,11.0
2003-01-01,11.3
2004-01-01,11.6
2005-01-01,11.9
2006-01-01,11.5
2007-01-01,11.9
2008-01-01,12.1
2009-01-01,12.0
2010-01-01,14.1
2011-01-01,14.7
2012-01-01,14.2
2013-01-01,14.7
2014-01-01,14.8
2015-01-01,14.1
2016-01-01,13.3
2017-01-01,12.3
2018-01-01,12.8
2019-01-01,11.6
2020-01-01,10.6
2021-01-01,12.1
