DATE,BRRI44M647NCEN
1981-01-01,87261.666666666667
1982-01-01,80968.000000000000
1983-01-01,81173.583333333333
1984-01-01,73679.166666666667
1985-01-01,68752.250000000000
1986-01-01,64766.583333333333
1987-01-01,59610.416666666667
1988-01-01,56719.583333333333
1989-01-01,57698.583333333333
1990-01-01,67276.750000000000
1991-01-01,80871.250000000000
1992-01-01,88693.916666666667
1993-01-01,93238.916666666667
1994-01-01,93867.166666666667
1995-01-01,92983.000000000000
1996-01-01,92165.000000000000
1997-01-01,81829.750000000000
1998-01-01,75113.750000000000
1999-01-01,76206.166666666667
2000-01-01,73247.750000000000
2001-01-01,71230.333333333333
2002-01-01,72124.416666666667
2003-01-01,75304.416666666667
2004-01-01,77527.666666666667
2005-01-01,75451.333333333333
2006-01-01,73224.500000000000
2007-01-01,78049.750000000000
2008-01-01,87412.166666666667
2009-01-01,110988.583333333333
2010-01-01,145892.250000000000
2011-01-01,164120.166666666667
2012-01-01,175023.916666666667
2013-01-01,180356.916666666667
2014-01-01,177608.166666666667
2015-01-01,174192.916666666667
2016-01-01,169785.666666666667
2017-01-01,165860.333333333333
2018-01-01,160862.583333333333
2019-01-01,149707.333333333333
2020-01-01,143927.583333333333
2021-01-01,.
