DATE,VTRQGSP
2005-01-01,26995.575000000000
2006-01-01,27128.800000000000
2007-01-01,26886.675000000000
2008-01-01,27758.375000000000
2009-01-01,27221.975000000000
2010-01-01,28403.750000000000
2011-01-01,29013.525000000000
2012-01-01,29241.250000000000
2013-01-01,28681.500000000000
2014-01-01,28912.200000000000
2015-01-01,29119.050000000000
2016-01-01,29408.150000000000
2017-01-01,29490.650000000000
2018-01-01,29602.225000000000
2019-01-01,29940.675000000000
2020-01-01,29064.625000000000
2021-01-01,30546.800000000000
2022-01-01,31395.250000000000
2023-01-01,.
