DATE,BRVT50M647NCEN
1981-01-01,48444.916666666667
1982-01-01,49020.833333333333
1983-01-01,52749.750000000000
1984-01-01,47801.416666666667
1985-01-01,42057.166666666667
1986-01-01,37412.083333333333
1987-01-01,35877.333333333333
1988-01-01,33746.666666666667
1989-01-01,34676.416666666667
1990-01-01,40206.500000000000
1991-01-01,49604.750000000000
1992-01-01,54346.333333333333
1993-01-01,58392.750000000000
1994-01-01,63219.750000000000
1995-01-01,57926.000000000000
1996-01-01,55874.416666666667
1997-01-01,51833.666666666667
1998-01-01,47328.250000000000
1999-01-01,43411.250000000000
2000-01-01,40069.750000000000
2001-01-01,38979.000000000000
2002-01-01,40188.166666666667
2003-01-01,41674.083333333333
2004-01-01,43593.500000000000
2005-01-01,45680.333333333333
2006-01-01,49148.000000000000
2007-01-01,53096.750000000000
2008-01-01,57745.666666666667
2009-01-01,77635.916666666667
2010-01-01,87040.416666666667
2011-01-01,93465.500000000000
2012-01-01,97794.333333333333
2013-01-01,100386.000000000000
2014-01-01,89980.666666666667
2015-01-01,83683.500000000000
2016-01-01,78777.250000000000
2017-01-01,75707.250000000000
2018-01-01,72157.833333333333
2019-01-01,68424.833333333333
2020-01-01,68888.333333333333
2021-01-01,.
