DATE,MEHOINUSVTA672N
1984-01-01,56234
1985-01-01,62607
1986-01-01,58215
1987-01-01,58146
1988-01-01,64008
1989-01-01,66207
1990-01-01,62699
1991-01-01,56718
1992-01-01,62175
1993-01-01,57517
1994-01-01,64932
1995-01-01,59901
1996-01-01,55819
1997-01-01,59188
1998-01-01,65593
1999-01-01,67833
2000-01-01,62467
2001-01-01,62579
2002-01-01,64938
2003-01-01,63883
2004-01-01,68051
2005-01-01,70515
2006-01-01,70022
2007-01-01,62077
2008-01-01,63964
2009-01-01,66227
2010-01-01,69648
2011-01-01,62611
2012-01-01,65710
2013-01-01,76320
2014-01-01,69545
2015-01-01,68037
2016-01-01,68687
2017-01-01,70385
2018-01-01,75599
2019-01-01,78746
2020-01-01,70398
2021-01-01,76079
