DATE,PPAAVT50000A156NCEN
1989-01-01,9.9
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,12.2
1994-01-01,.
1995-01-01,11.2
1996-01-01,11.0
1997-01-01,9.7
1998-01-01,9.6
1999-01-01,9.3
2000-01-01,8.8
2001-01-01,8.9
2002-01-01,9.3
2003-01-01,9.2
2004-01-01,8.7
2005-01-01,10.4
2006-01-01,10.2
2007-01-01,10.1
2008-01-01,10.4
2009-01-01,11.5
2010-01-01,12.4
2011-01-01,11.9
2012-01-01,11.9
2013-01-01,12.3
2014-01-01,12.0
2015-01-01,10.4
2016-01-01,11.3
2017-01-01,10.8
2018-01-01,10.7
2019-01-01,10.1
2020-01-01,9.4
2021-01-01,10.2
