DATE,VARQGSP
2005-01-01,412084.625000000000
2006-01-01,419870.625000000000
2007-01-01,424939.550000000000
2008-01-01,431216.700000000000
2009-01-01,427648.950000000000
2010-01-01,441242.375000000000
2011-01-01,444288.000000000000
2012-01-01,445973.625000000000
2013-01-01,449063.750000000000
2014-01-01,447678.100000000000
2015-01-01,455162.375000000000
2016-01-01,459965.825000000000
2017-01-01,467362.000000000000
2018-01-01,477915.200000000000
2019-01-01,489199.050000000000
2020-01-01,478909.350000000000
2021-01-01,505350.950000000000
2022-01-01,512946.250000000000
2023-01-01,.
