DATE,BRVA51M647NCEN
1981-01-01,433540.333333333333
1982-01-01,430721.916666666667
1983-01-01,433074.750000000000
1984-01-01,387942.416666666667
1985-01-01,355059.916666666667
1986-01-01,340402.333333333333
1987-01-01,322939.833333333333
1988-01-01,330506.916666666667
1989-01-01,332933.000000000000
1990-01-01,360077.666666666667
1991-01-01,433783.333333333333
1992-01-01,507805.166666666667
1993-01-01,538217.333333333333
1994-01-01,549684.750000000000
1995-01-01,546409.083333333333
1996-01-01,529167.083333333333
1997-01-01,453092.250000000000
1998-01-01,384776.750000000000
1999-01-01,355203.000000000000
2000-01-01,332788.666666666667
2001-01-01,336089.500000000000
2002-01-01,358953.083333333333
2003-01-01,404781.333333333333
2004-01-01,466403.333333333333
2005-01-01,494840.916666666667
2006-01-01,508072.583333333333
2007-01-01,519531.666666666667
2008-01-01,560870.666666666667
2009-01-01,691172.500000000000
2010-01-01,806895.250000000000
2011-01-01,874410.166666666667
2012-01-01,922150.416666666667
2013-01-01,942078.083333333333
2014-01-01,903865.750000000000
2015-01-01,850956.000000000000
2016-01-01,816323.833333333333
2017-01-01,762609.166666666667
2018-01-01,727155.500000000000
2019-01-01,699770.666666666667
2020-01-01,747390.166666666667
2021-01-01,.
