DATE,MEHOINUSVAA672N
1984-01-01,66064
1985-01-01,68456
1986-01-01,70322
1987-01-01,68626
1988-01-01,72089
1989-01-01,72180
1990-01-01,70713
1991-01-01,70301
1992-01-01,72507
1993-01-01,67456
1994-01-01,68278
1995-01-01,64148
1996-01-01,67640
1997-01-01,72534
1998-01-01,72226
1999-01-01,74536
2000-01-01,74409
2001-01-01,77071
2002-01-01,74954
2003-01-01,80897
2004-01-01,73532
2005-01-01,72198
2006-01-01,76943
2007-01-01,77496
2008-01-01,78192
2009-01-01,76586
2010-01-01,75176
2011-01-01,75594
2012-01-01,76409
2013-01-01,76779
2014-01-01,75785
2015-01-01,70315
2016-01-01,75025
2017-01-01,78265
2018-01-01,83243
2019-01-01,86172
2020-01-01,86053
2021-01-01,80268
