DATE,PPAAVA51000A156NCEN
1989-01-01,10.5
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,12.0
1994-01-01,.
1995-01-01,11.3
1996-01-01,11.5
1997-01-01,11.6
1998-01-01,10.2
1999-01-01,9.0
2000-01-01,8.9
2001-01-01,8.8
2002-01-01,9.6
2003-01-01,10.0
2004-01-01,9.5
2005-01-01,10.0
2006-01-01,9.6
2007-01-01,9.9
2008-01-01,10.2
2009-01-01,10.6
2010-01-01,11.1
2011-01-01,11.6
2012-01-01,11.8
2013-01-01,11.7
2014-01-01,11.8
2015-01-01,11.2
2016-01-01,11
2017-01-01,10.7
2018-01-01,10.7
2019-01-01,9.9
2020-01-01,9.2
2021-01-01,10.3
