DATE,WARQGSP
2005-01-01,340427.950000000000
2006-01-01,353263.500000000000
2007-01-01,373180.600000000000
2008-01-01,381289.950000000000
2009-01-01,370136.600000000000
2010-01-01,380989.450000000000
2011-01-01,387745.225000000000
2012-01-01,400530.600000000000
2013-01-01,410873.875000000000
2014-01-01,424467.625000000000
2015-01-01,441952.075000000000
2016-01-01,458263.775000000000
2017-01-01,482007.050000000000
2018-01-01,515029.075000000000
2019-01-01,533150.425000000000
2020-01-01,538856.050000000000
2021-01-01,575129.000000000000
2022-01-01,582171.625000000000
2023-01-01,.
